      1	0.2951	0.5974	-0.7457
      1	0.7357	-0.6400	-0.2216
      1	-0.6096	-0.4832	-0.6284
      2	0.2803	0.6957	-0.6614
      2	0.7687	-0.5753	-0.2793
      2	-0.5749	-0.4301	-0.6961
      3	0.2594	0.7823	-0.5663
      3	0.7998	-0.5027	-0.3281
      3	-0.5414	-0.3677	-0.7561
      4	0.2328	0.8558	-0.4619
      4	0.8282	-0.4234	-0.3671
      4	-0.5097	-0.2971	-0.8074
      5	0.2009	0.9149	-0.3502
      5	0.8537	-0.3388	-0.3955
      5	-0.4805	-0.2195	-0.8491
      6	0.1642	0.9585	-0.2330
      6	0.8756	-0.2504	-0.4130
      6	-0.4542	-0.1362	-0.8804
      7	0.1233	0.9860	-0.1123
      7	0.8938	-0.1595	-0.4192
      7	-0.4313	-0.0487	-0.9009
      8	0.0791	0.9968	0.0098
      8	0.9077	-0.0679	-0.4141
      8	-0.4121	0.0417	-0.9102
      9	0.0322	0.9908	0.1313
      9	0.9173	0.0229	-0.3976
      9	-0.3970	0.1332	-0.9081
     10	-0.0166	0.9681	0.2500
     10	0.9223	0.1114	-0.3702
     10	-0.3862	0.2244	-0.8947
     11	-0.0664	0.9290	0.3640
     11	0.9226	0.1961	-0.3322
     11	-0.3800	0.3137	-0.8702
     12	-0.1164	0.8743	0.4712
     12	0.9183	0.2755	-0.2843
     12	-0.3784	0.3996	-0.8350
     13	-0.1658	0.8049	0.5699
     13	0.9094	0.3483	-0.2273
     13	-0.3814	0.4806	-0.7897
     14	-0.2136	0.7218	0.6583
     14	0.8961	0.4131	-0.1623
     14	-0.3891	0.5552	-0.7351
     15	-0.2590	0.6267	0.7349
     15	0.8786	0.4690	-0.0902
     15	-0.4012	0.6223	-0.6721
     16	-0.3014	0.5211	0.7985
     16	0.8572	0.5149	-0.0125
     16	-0.4176	0.6807	-0.6019
     17	-0.3399	0.4068	0.8479
     17	0.8322	0.5500	0.0697
     17	-0.4380	0.7294	-0.5255
     18	-0.3739	0.2858	0.8823
     18	0.8042	0.5738	0.1550
